"Kod";"Nazwa";"ogółem";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70 i więcej";"70-74";"75-79";"80-84";"85 i więcej";"0-14";
1411000;"Powiat makowski";44438;2178;2349;2486;2318;2776;3287;3077;3268;3099;2762;2744;2898;3191;2874;5131;2099;1006;1005;1021;7013;
1412000;"Powiat miński";154951;8844;9275;9556;8007;8442;9636;10932;12910;12797;11170;9071;8903;9939;9009;16460;6404;3793;3167;3096;27675;
1413000;"Powiat mławski";72269;3609;3651;4067;3629;4527;5360;5246;5739;5205;4708;4535;4735;5089;4205;7964;3288;1631;1535;1510;11327;
1414000;"Powiat nowodworski";79265;4071;4208;4478;3869;4186;4950;5685;6811;6473;5703;4639;4764;5840;5191;8397;3671;1802;1479;1445;12757;
1415000;"Powiat ostrołęcki";88497;4804;4843;5428;4678;6104;7245;6705;6813;6207;5950;5835;5921;5335;4221;8408;2890;1807;1883;1828;15075;
1416000;"Powiat ostrowski";71790;3457;3436;3863;3639;4536;5166;5077;5332;5125;4746;4464;4557;5145;4401;8846;3212;2018;1735;1881;10756;
1417000;"Powiat otwocki";124283;6720;6825;7545;6204;6097;7206;8088;9872;10241;9236;7645;7274;8479;7730;15121;5856;3630;2881;2754;21090;
1418000;"Powiat piaseczyński";190606;11940;11586;13143;10352;8966;9951;12564;16372;18216;16082;11526;9714;10917;10721;18556;8126;4259;3314;2857;36669;
1419000;"Powiat płocki";110742;5154;5514;6438;5818;6909;8259;7780;8314;8702;8450;7477;6865;7082;6216;11764;5021;2612;2054;2077;17106;
1420000;"Powiat płoński";86671;4310;4288;4892;4442;5163;6103;5976;6737;6609;5957;5258;5460;6129;5538;9809;4150;2105;1800;1754;13490;
1421000;"Powiat pruszkowski";166679;9420;9621;9991;7898;7529;8536;10643;14702;15043;12887;9929;9004;10635;10676;20165;8275;4730;3775;3385;29032;
1422000;"Powiat przasnyski";52101;2847;2809;3068;2869;3212;3743;3781;3888;3646;3374;3148;3415;3563;3081;5657;2212;1186;1162;1097;8724;
1423000;"Powiat przysuski";41126;1915;1961;2060;2209;2546;3099;2883;3021;2826;2709;2519;2788;2965;2418;5207;1855;1177;1084;1091;5936;
1424000;"Powiat pułtuski";51741;2788;2768;2863;2685;3144;3765;3779;4002;3960;3483;3058;3139;3648;3022;5637;2381;1169;1101;986;8419;
1425000;"Powiat radomski";152190;7991;8198;9194;8515;9716;11202;11230;12507;11696;10677;9061;8878;9905;8930;14490;6026;3319;2663;2482;25383;
1426000;"Powiat siedlecki";81385;4380;4533;4801;4487;5404;6150;5979;6054;5917;5433;4961;5021;4894;4426;8945;3187;2150;1779;1829;13714;
1427000;"Powiat sierpecki";51534;2432;2541;2801;2831;3261;3884;3761;3721;3726;3390;3410;3421;3629;3001;5725;2314;1196;1165;1050;7774;
1428000;"Powiat sochaczewski";84804;4520;4466;4812;4157;4493;5524;6172;6842;6626;5842;5111;5145;6129;5322;9643;3941;2159;1778;1765;13798;
1429000;"Powiat sokołowski";53294;2506;2621;2761;2500;3199;3769;3689;3816;3545;3492;3260;3467;3916;3673;7080;2583;1615;1376;1506;7888;
1430000;"Powiat szydłowiecki";39340;1772;1957;2140;2070;2459;2856;2829;3216;3036;2800;2251;2434;2704;2443;4373;1765;896;821;891;5869;
1432000;"Powiat warszawski zachodni";120144;6335;6769;7863;6336;5963;6568;7864;9713;10510;9537;7399;6757;8001;7503;13026;5523;2886;2297;2320;20967;
1433000;"Powiat węgrowski";65410;3500;3488;3518;3260;3949;4732;4636;4805;4814;4284;3935;3971;4385;4197;7936;3087;1743;1486;1620;10506;
1434000;"Powiat wołomiński";252408;16995;15771;16642;13391;12810;15418;18878;22770;23009;19142;14298;13152;14300;13315;22517;9346;5220;4397;3554;49408;
1435000;"Powiat wyszkowski";74210;4348;4172;4461;3896;4433;5295;5628;5988;5452;5062;4526;4519;4938;4032;7460;3002;1744;1474;1240;12981;
